57.144.246.131|443|404|419|h2|1.0|0
57.145.6.1|443|400|402|h2|1.0|0
57.144.186.35|443|404|692|h2|1.0|0
57.144.160.129|443|404|683|h2|1.0|0
57.144.122.195|443|404|726|h2|1.0|0
57.144.202.146|443|200|272|h2|1.0|0
57.145.4.131|443|404|294|h2|1.0|0
57.144.52.34|443|404|704|h2|1.0|0
57.144.152.35|443|404|683|h2|1.0|0
57.144.142.35|443|404|668|h2|1.0|0
57.144.55.180|443|200|417|http/1.1|1.0|0
57.144.179.32|443|404|470|h2|1.0|0
57.144.14.131|443|404|684|h2|1.0|0
57.144.56.37|443|404|656|h2|1.0|0
57.145.8.145|443|404|622|h2|1.0|0
66.220.149.254|443|404|259|http/1.1|1.0|0
